Producer_Id,Movie_Id
1,1
2,1
3,2
4,2
5,2
6,2
7,3
8,4
9,5
10,5
11,5
12,6
13,6
14,6
15,7
16,8
17,8
18,9
19,9
20,9
21,10
22,10
23,10
24,10
25,11
26,12
27,12
28,12
29,13
30,14
31,14
32,15
33,15
34,16
35,16
36,17
37,18
38,18
39,19
40,20
41,20
42,21
43,21
44,22
45,23
46,23
47,24
48,25
49,26
50,27
51,28
51,29
52,30
53,30
54,31
55,32
56,32
57,33
58,33
59,33
60,33
61,34
61,35
12,36
62,36
63,37
64,37
6,37
65,38
66,38
67,39
68,39
69,40
70,40
71,40
69,41
70,41
71,41
72,42
73,42
61,43
74,44
75,45
76,45
77,45
78,45
79,46
37,46
80,46
81,46
82,47
83,47
84,47
85,47
86,48
87,48
88,48
80,49
81,49
89,49
37,49
61,50
90,50
84,51
85,51
72,51
91,51