Id,Name,Age,Gender
1,Aamir Khan,57,M
2,Mansoor Khan,60,M
3,Lorenzo di Bonaventura,65,M
4,Tom DeSanto,54,M
5,Don Murphy,55,M
6,Ian Bryce,66,M
7,Jerry Bruckheimer,79,M
8,Nazim Hassan Rizvi,52,M
9,Denzel Washington,67,M
10,Ridley Scott,84,M
11,Russell Crowe,58,M
12,Judd Apatow,54,M
13,Clayton Townsend,61,M
14,Shauna Robertson,44,F
15,Lata Mohan,83,F
16,Barry Sonnenfeld,69,M
17,Barry Josephson,66,M
18,Ben Stiller,56,M
19,John Jacobs ,91,M
20,Stuart Cornfeld,67,M
21,Michael DeLuca,57,M
22,Steven Paul,63,M
23,Gary Foster,61,M
24,Avi Arad,74,M
25,B. R. Chopra,104,M
26,Shah Rukh Khan,57,M
27,Juhi Chawla,55,F
28,Aziz Mirza,75,M
29,Shawn Levy,54,M
30,Ceán Chaffin,65,F
31,Kathleen Kennedy,69,F
32,M. Night Shyamalan,52,M
33,Barry Mendel,59,M
34,Keanu Reeves,58,M
35,David Ayer,54,M
36,Suneel Darshan,65,M
37,Karan Johar,50,M
38,Yash Johar,75,M
39,Craig Baumgarten,73,M
40,Barry Mendel,59,M
41,Drew Barrymore,47,M
42,Bill Duke,79,M
43,Brian Bird,65,M
44,Basil Iwanyk,62,M
45,Farhan Akhtar,48,M
46,Ritesh Sidhwani,49,M
47,Cathy Konrad,69,M
48,Greg Strause,47,M
49,Ravi Chopra,68,M
50,Yash Chopra,80,M
51,Dhillin Mehta,48,M
52,Yunus Sajawal,47,M
53,Mahesh Ramanathan,52,M
54,Vikram Bhatt,53,M
55,Pradeep Agarwal,50,M
56,Prashant Agarwal,54,M
57,Ronnie Screwvala,60,M
58,Siddharth Roy,48,M
59,Gauri Khan,52,F
60,Karim Morani,55,M
61,Kevin Feige,49,M
62,Nicholas Stoller,46,M
63,Brad Pitt,58,M
64,Dede Gardner,55,F
65,Evan Goldberg,40,M
66,Seth Rogen,40,M
67,Vidhu Vinod Chopra,70,M
68,Rajkumar Hirani,60,M
69,Tona DeRosa-Grund,43,M
70,Peter Safran,57,M
71,Rob Cowan,74,M
72,Kumar Mangat Pathak,37,M
73,Ajit Andhare,49,M
74,Sajid Nadiadwala,56,M
75,Ivan Reitman,75,M
76,Beau Flynn,52,M
77,Michael Berk,53,M
78,Douglas Schwartz,78,M
79,Vineet Jain,58,M
80,Hiroo Yash Johar,79,M
81,Apoorva Mehta,36,M
82,Murad Khetani,49,M
83,Ashwin Varde,52,M
84,Bhushan Kumar,45,M
85,Krishan Kumar,30,M
86,Joe Russo,51,M
87,Anthony Russo,52,M
88,Chris Hemsworth,39,M
89,Rohit Shetty,49,M
90,Brad Winderbaum,63,M
91,Abhishek Pathak,35,M