Id,TotalExpense ,TotalEarnings 
1,64165,169252
2,200000000,709000000
3,1364000000,4524000000
4,11573878,74541245
5,100000000,266500000
6,25000000,219000000
7,181601,799046
8,85000000,340500000
9,61000000,143700000
10,110000000,228700000
11,1210676,5219436
12,35000000,219300000
13,167000000,335800000
14,60000000,163400000
15,20000000,66500000
16,20000000,66500000
17,1100000,4000000
18,6500000,18800000
19,20000000,41600000
20,15000000,17000000
21,3500000,10726909
22,125000000,493200000
23,1000000,50000000
24,117000000,262000000
25,20000000,68000000
26,6000000,12000000
27,2784554,18402275
28,4481236,4067024
29,6055725,8425148
30,4965694,17113902
31,1090030,3396050
32,2300000,6300000
33,13928167,395924250
34,140000000,370600000
35,150000000,449300000
36,30000000,54000000
37,190000000,540000000
38,18000000,270700000
39,12000000,140000000
40,20000000,319500000
41,40000000,321800000
42,6055725,7900000
43,515000000,1952000000
44,5086930,19483218
45,69000000,177800000
46,4400000,25000000
47,8300000,44901572
48,65000000,900000000
49,9033890,16265755
50,550000000,700000000
51,10000000,21150000