Cast_Id,Movie_Id
1,1
2,1
3,2
4,2
5,2
6,3
7,3
8,4
9,4
10,4
11,5
12,5
13,5
14,6
15,6
16,6
17,6
18,7
19,7
20,8
21,8
22,9
23,9
24,10
25,10
26,11
27,11
28,11
8,11
29,12
10,12
30,13
31,13
32,14
33,14
34,14
35,15
36,15
37,16
38,16
39,17
40,17
41,17
29,18
9,18
42,18
43,19
44,19
45,19
46,20
47,20
48,20
49,21
50,21
51,22
52,22
1,23
42,23
53,23
9,23
30,24
54,24
55,25
56,25
57,25
29,26
26,26
58,26
29,27
59,27
60,28
61,28
62,28
62,29
63,29
64,29
63,30
65,31
66,32
67,32
29,33
68,33
37,34
69,34
70,35
71,35
50,36
72,36
73,36
32,37
14,38
74,38
75,38
1,39
59,39
76,40
77,40
76,41
77,41
63,42
18,42
78,43
37,43
70,43
79,43
80,43
81,44
82,44
53,44
83,45
84,45
85,46
86,47
87,47
70,48
39,49
63,49
88,49
89,49
70,50
71,50
90,50
63,51
18,51
53,51